黄瓜(鲜干花),1.5,1.65,1.8,冀,斤,2021/5/29
,,,,,,
小黄瓜,2,2.5,3,旱荷兰,斤,2021/5/29
,,,,,,
茄子,0.8,1,1.2,冀,斤,2021/5/29
,,,,,,
长茄,0.8,1.1,1.4,辽,斤,2021/5/29
,,,,,,
广茄,1.2,1.4,1.6,滇、冀,斤,2021/5/29
,,,,,,
线茄,2,2.5,3,冀,斤,2021/5/29
,,,,,,
玉菇,2,2.25,2.5,甜瓜类,斤,2021/5/30
,,,,,,
网纹,3,3.25,3.5,甜瓜类,斤,2021/5/30
,,,,,,
长香玉,1.4,1.5,1.6,甜瓜类,斤,2021/5/30
,,,,,,
西洲蜜,2,2.5,3,甜瓜类,斤,2021/5/30
,,,,,,
24白糖罐,2.5,2.75,3,甜瓜类,斤,2021/5/30
,,,,,,
羊角蜜,2.3,3.65,5,甜瓜类,斤,2021/5/30
,,,,,,
花蕾甜瓜,3,4,5,甜瓜类,斤,2021/5/30
,,,,,,
久红瑞,2,2.15,2.3,甜瓜类,斤,2021/5/30
,,,,,,
绿宝甜瓜,2,3.5,5,甜瓜类,斤,2021/5/30
,,,,,,
博阳（系列）,2.2,3.1,4,甜瓜类,斤,2021/5/30
,,,,,,
景甜,1.5,2.5,3.5,甜瓜类,斤,2021/5/30
,,,,,,
富士（纸袋Φ70-84）,1.8,2.3,2.8,苹果类,斤,2021/5/30
,,,,,,
富士（纸+膜袋）,1.5,1.75,2,苹果类,斤,2021/5/30
,,,,,,
富士（纸袋Φ85以上）,2.5,3,3.5,苹果类,斤,2021/5/30
,,,,,,
黄元帅,1.5,1.75,2,苹果类,斤,2021/5/30
,,,,,,
花牛(Φ70-85),1.4,2,2.6,苹果类,斤,2021/5/30
,,,,,,
新疆阿克苏（冰糖心）,3,3.5,4,苹果类,斤,2021/5/30
,,,,,,
国光苹果,1,1.5,2,苹果类,斤,2021/5/30
,,,,,,
辽宁寒富苹果,1.5,1.75,2,苹果类,斤,2021/5/30
,,,,,,
巨峰葡萄,5,8.5,12,葡萄类,斤,2021/5/30
,,,,,,
西葫芦,0.8,1,1.2,滇鲁,斤,2021/5/29
,,,,,,
佛手瓜,2.2,2.35,2.5,普通,斤,2021/5/29
,,,,,,
金丝南瓜,0.8,0.9,1,琼,斤,2021/5/29
,,,,,,
南北瓜,0.9,0.95,1,桂,斤,2021/5/29
,,,,,,
尖椒,1.5,1.75,2,冀晋鲁新,斤,2021/5/29
,,,,,,
螺丝椒,2,2.5,3,普通,斤,2021/5/29
,,,,,,
柿子椒,1.5,1.75,2,鲁新,斤,2021/5/29
,,,,,,
线椒,2.8,3,3.2,鲁琼新,斤,2021/5/29
,,,,,,
杭椒,2.5,2.75,3,普通,斤,2021/5/29
,,,,,,
小米椒,4,4.5,5,滇,斤,2021/5/29
,,,,,,
彩椒,5,5.1,5.2,红黄,斤,2021/5/29
,,,,,,
白萝卜,0.3,0.35,0.4,冀,斤,2021/5/29
,,,,,,
心里美,2,2.3,2.6,冀新,斤,2021/5/29
,,,,,,
卞萝卜,0.5,0.6,0.7,冀,斤,2021/5/29
,,,,,,
青萝卜,0.9,1,1.1,冀鲁新,斤,2021/5/29
,,,,,,
胡萝卜,0.8,0.9,1,冀鲁新,斤,2021/5/29
,,,,,,
胡萝卜（洗）,0.8,1,1.2,冀闽箱,斤,2021/5/29
,,,,,,
小水萝卜,0.9,1,1.1,普通,斤,2021/5/29
,,,,,,
土豆,0.7,0.85,1,冀,斤,2021/5/29
,,,,,,
新土豆（黄心）,0.7,1,1.3,鲁,斤,2021/5/29
,,,,,,
黄葱头,1,1.13,1.25,蒙甘,斤,2021/5/29
,,,,,,
红葱头,1.2,1.35,1.5,老新,斤,2021/5/29
,,,,,,
山药,1.8,2.25,2.7,脆麻新,斤,2021/5/29
,,,,,,
铁棍山药,5,5.75,6.5,普通,斤,2021/5/29
,,,,,,
莲藕,2,3.1,4.2,津,斤,2021/5/29
,,,,,,
红薯,1,1.45,1.9,冀新,斤,2021/5/29
,,,,,,
红薯,2,2.1,2.2,西瓜红粤新,斤,2021/5/29
,,,,,,
茭白,2.5,3,3.5,京浙,斤,2021/5/29
,,,,,,
